date,Open,High,Low,Close
2022-07-06 21:00:00,1741.838,1742.194,1736.358,1737.298
2022-07-06 22:00:00,1737.298,1744.454,1737.278,1743.878
2022-07-06 23:00:00,1743.874,1746.864,1743.224,1745.698
2022-07-07 00:00:00,1745.698,1746.908,1743.918,1744.264
2022-07-07 01:00:00,1744.264,1747.558,1743.918,1746.108
2022-07-07 02:00:00,1746.048,1746.388,1743.236,1743.386
2022-07-07 03:00:00,1743.378,1745.344,1741.054,1744.554
2022-07-07 04:00:00,1744.554,1744.554,1739.974,1741.994
2022-07-07 05:00:00,1741.988,1745.154,1741.254,1743.238
2022-07-07 06:00:00,1743.259,1744.443,1740.768,1742.588
2022-07-07 07:00:00,1742.548,1745.104,1742.278,1743.648
2022-07-07 08:00:00,1743.714,1745.827,1738.258,1739.478
2022-07-07 09:00:00,1739.496,1748.684,1737.858,1746.918
2022-07-07 10:00:00,1746.918,1749.014,1741.044,1741.704
2022-07-07 11:00:00,1741.704,1742.884,1739.357,1739.678
2022-07-07 12:00:00,1739.688,1742.894,1739.537,1742.534
2022-07-07 13:00:00,1742.518,1742.868,1739.064,1740.284
2022-07-07 14:00:00,1740.324,1741.018,1739.258,1739.748
2022-07-07 15:00:00,1739.748,1741.035,1738.598,1740.508
2022-07-07 16:00:00,1740.548,1740.918,1739.518,1739.968
2022-07-07 18:00:00,1739.858,1741.008,1739.194,1739.674
2022-07-07 19:00:00,1739.654,1741.788,1738.818,1741.628
2022-07-07 20:00:00,1741.738,1744.718,1740.758,1744.538
2022-07-07 21:00:00,1744.518,1746.508,1742.298,1743.298
2022-07-07 22:00:00,1743.298,1743.698,1742.148,1742.658
2022-07-07 23:00:00,1742.658,1743.398,1740.528,1742.284
2022-07-08 00:00:00,1742.288,1742.344,1739.424,1741.788
2022-07-08 01:00:00,1741.788,1743.358,1739.994,1742.978
2022-07-08 02:00:00,1742.928,1743.728,1741.584,1742.674
2022-07-08 03:00:00,1742.688,1742.864,1733.098,1736.419
2022-07-08 04:00:00,1736.419,1743.248,1734.834,1737.738
2022-07-08 05:00:00,1737.748,1738.768,1734.708,1738.318
2022-07-08 06:00:00,1738.295,1742.978,1736.019,1740.898
2022-07-08 07:00:00,1740.898,1742.048,1739.049,1740.848
2022-07-08 08:00:00,1740.848,1745.474,1732.919,1738.389
2022-07-08 09:00:00,1738.454,1743.574,1736.284,1736.768
2022-07-08 10:00:00,1736.768,1752.387,1736.634,1747.814
2022-07-08 11:00:00,1747.814,1748.748,1742.154,1742.294
2022-07-08 12:00:00,1742.344,1744.418,1740.408,1742.234
2022-07-08 13:00:00,1742.238,1744.164,1741.588,1743.628
2022-07-08 14:00:00,1743.634,1744.174,1741.548,1741.714
2022-07-08 15:00:00,1741.734,1743.352,1741.052,1741.198
2022-07-08 16:00:00,1741.248,1742.514,1741.058,1741.838
2022-07-10 18:00:00,1742.848,1744.528,1740.098,1743.608
2022-07-10 19:00:00,1743.528,1744.068,1741.538,1741.828
2022-07-10 20:00:00,1741.828,1742.778,1739.658,1741.438
2022-07-10 21:00:00,1741.458,1741.738,1738.358,1739.898
2022-07-10 22:00:00,1739.898,1743.374,1739.648,1741.514
2022-07-10 23:00:00,1741.468,1743.014,1741.314,1742.448
2022-07-11 00:00:00,1742.448,1742.618,1740.755,1742.214
2022-07-11 01:00:00,1742.214,1742.314,1739.698,1740.314
2022-07-11 02:00:00,1740.314,1740.988,1739.214,1739.284
2022-07-11 03:00:00,1739.354,1740.648,1735.892,1736.665
2022-07-11 04:00:00,1736.665,1739.044,1736.378,1737.885
2022-07-11 05:00:00,1737.878,1739.814,1734.654,1735.048
2022-07-11 06:00:00,1735.038,1737.068,1734.017,1736.038
2022-07-11 07:00:00,1736.068,1737.984,1733.554,1734.778
2022-07-11 08:00:00,1734.778,1737.858,1734.024,1736.768
2022-07-11 09:00:00,1736.754,1742.617,1735.334,1741.144
2022-07-11 10:00:00,1741.148,1741.534,1735.888,1740.284
2022-07-11 11:00:00,1740.314,1740.971,1736.544,1737.984
2022-07-11 12:00:00,1737.994,1738.154,1734.002,1734.878
2022-07-11 13:00:00,1734.858,1736.348,1732.718,1736.008
2022-07-11 14:00:00,1736.014,1736.674,1733.868,1734.848
2022-07-11 15:00:00,1734.838,1735.118,1731.128,1732.098
2022-07-11 16:00:00,1732.068,1733.998,1731.868,1733.808
2022-07-11 18:00:00,1733.348,1734.158,1732.828,1733.494
2022-07-11 19:00:00,1733.528,1734.328,1733.104,1733.104
2022-07-11 20:00:00,1733.128,1735.598,1731.898,1732.408
2022-07-11 21:00:00,1732.424,1744.098,1723.048,1734.558
2022-07-11 22:00:00,1734.514,1737.014,1733.668,1735.308
2022-07-11 23:00:00,1735.308,1735.534,1732.318,1733.294
2022-07-12 00:00:00,1733.334,1733.334,1728.514,1728.738
